rank,refArea,region,score,surveysXXXused,standardXXXdeviation,percentileXXX90XXXlower,percentileXXX90XXXupper,min,max,africanXXXdevelopmentXXXbankXXXcountryXXXpolicyXXXandXXXinstitutionalXXXassessmentXXXgovernanceXXXratings,bertelsmannXXXfoundationXXXsustainableXXXgovernanceXXXindicators,bertelsmannXXXfoundationXXXtransformationXXXindex,internationalXXXinstituteXXXforXXXmanagementXXXdevelopmentXXXworldXXXcompetitivenessXXXyearbook,politicalXXXriskXXXservicesXXXinternationalXXXcountryXXXriskXXXguide,worldXXXbankXXXcountryXXXperformanceXXXandXXXinstitutionalXXXassessment,worldXXXeconomicXXXforumXXXexecutiveXXXopinionXXXsurvey,worldXXXjusticeXXXprojectXXXruleXXXofXXXlawXXXindex,economistXXXintelligenceXXXunitXXXcountryXXXriskXXXassessment,globalXXXinsightXXXcountryXXXriskXXXratings,politicalXXXandXXXeconomicXXXriskXXXconsultancyXXXasianXXXintelligence,transparencyXXXinternationalXXXbribeXXXpayersXXXsurvey,freedomXXXhouseXXXnationsXXXinXXXtransit
83,Peru,AM,38,7,2.1,35,42,29,45,0,0,45,41,41,0,32,29,38,42,0,0,0
88,Malawi,AF,37,8,1.5,34,39,31,45,40,0,45,0,31,35,36,38,38,32,0,0,0
88,Morocco,ME,37,8,3.2,32,43,25,54,40,0,28,0,41,0,54,25,38,42,0,32,0
88,Suriname,AM,37,3,3.2,31,42,31,42,0,0,0,0,31,0,37,0,0,42,0,0,0
88,Swaziland,AF,37,4,2.1,33,40,32,42,32,0,0,0,0,0,35,0,38,42,0,0,0
88,Thailand,AP,37,8,1.6,34,40,31,45,0,0,45,38,31,0,35,33,38,42,35,0,0
88,Zambia,AF,37,8,3.1,32,42,23,50,47,0,32,0,50,23,35,36,38,32,0,0,0
94,Benin,AF,36,6,4.3,29,44,18,47,47,0,36,0,0,47,18,0,38,32,0,0,0
94,Colombia,AM,36,7,2.6,32,40,29,50,0,0,36,32,50,0,29,36,38,32,0,0,0
94,Djibouti,AF,36,3,8.6,22,50,23,52,32,0,0,0,0,23,0,0,0,52,0,0,0
94,Greece,EU,36,7,3.6,30,42,21,49,0,41,0,35,31,0,30,49,21,42,0,0,0
94,India,AP,36,10,2.1,33,40,24,47,0,0,45,34,41,47,37,24,38,32,31,36,0
94,Moldova,EE,36,8,2.6,31,40,25,47,0,0,40,0,31,47,34,25,38,42,0,0,29
94,Mongolia,AP,36,7,2.6,32,40,26,47,0,0,32,0,31,47,26,37,38,42,0,0,0
94,Senegal,AF,36,9,1.8,33,39,32,47,40,0,32,0,33,47,32,43,38,32,0,33,0
102,Argentina,AM,35,8,2.6,31,39,19,41,0,0,40,31,41,0,19,41,38,32,0,38,0
102,Gabon,AF,35,5,2.1,32,38,31,42,32,0,0,0,31,0,42,0,38,32,0,0,0
102,Tanzania,AF,35,8,2.1,31,38,22,41,40,0,36,0,41,35,32,33,38,22,0,0,0
105,Algeria,ME,34,6,3.3,29,40,20,42,40,0,36,0,31,0,20,0,38,42,0,0,0
105,Armenia,EE,34,6,2.7,29,38,21,40,0,0,40,0,21,35,38,0,0,32,0,0,37
105,Bolivia,AM,34,7,3.7,28,40,17,47,0,0,36,0,31,47,29,17,38,42,0,0,0
